comprimé;0;MEDROL 100 mg, comprimé
comprimé dispersible sécable;1;FLUOXÉTINE BASE;FLUOXETINE MYLAN 20 mg, comprimé dispersible sécable
poudre pour solution à diluer pour perfusion;1;TOPOTÉCANE;POTACTASOL 4 mg, poudre pour solution à diluer pour perfusion
comprimé;1;ZINC;OLIGOSTIM ZINC, comprimé
 comprimé et solution(s) et granules et poudre et pommade;0;CHIONANTHUS VIRGINIANA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
solution à diluer pour perfusion;0;STELARA 130 mg, solution à diluer pour perfusion
comprimé enrobé;0;ADVILMED 400 mg, comprimé enrobé
gélule;0;VICTRELIS 200 mg, gélule
dispositif;0;FENTANYL RANBAXY 75 microgrammes/heure, dispositif transdermique
comprimé pelliculé sécable;0;VALSARTAN RATIOPHARM 40 mg, comprimé pelliculé sécable
solution injectable;0;METOJECT 22,5 mg/0,45 ml, solution injectable en stylo prérempli
gélule;0;NAUSICALM ADULTES 50 mg, gélule
comprimé pelliculé;1;CARBIDOPA;LEVODOPA/CARBIDOPA/ENTACAPONE EG 200 mg/50 mg/200 mg, comprimé pelliculé
poudre et  solvant pour solution injectable;0;PRIORIX, poudre et solvant pour solution injectable en seringue préremplie. Vaccin rougeoleux, des oreillons et rubéoleux (vivant)
poudre pour solution injectable ou pour perfusion;1;CEFTAZIDIME ANHYDRE;FORTUM 1 g, poudre pour solution injectable (IM, IV) ou pour perfusion
solution à diluer pour perfusion;0;KETOPROFENE MEDISOL 100 mg/4 ml, solution à diluer pour perfusion
 comprimé et solution(s) et granules et poudre et pommade;0;SABAL SERRULATA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé;0;ARIPIPRAZOLE ACCORD 10 mg, comprimé
gélule;0;CELECOXIB SANDOZ 100 mg, gélule
poudre pour inhalation en gélule;1;TIOTROPIUM;SPIRIVA 18 microgrammes, poudre pour inhalation en gélule
comprimé effervescent(e);1;RANITIDINE BASE;RANITIDINE EG 150 mg, comprimé effervescent
comprimé;1;PÉRINDOPRIL;PERINDOPRIL ACTAVIS 2 mg, comprimé
comprimé enrobé;0;STABLON 12,5 mg, comprimé enrobé
comprimé pelliculé à libération prolongée;0;NIFEDIPINE EG L.P. 30 mg, comprimé pelliculé à libération prolongée
comprimé pelliculé;1;ESCITALOPRAM;ESCITALOPRAM SANDOZ 5 mg, comprimé pelliculé
granules et  poudre et  solution en gouttes en gouttes;0;ANTIMONIUM TARTARICUM WELEDA, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH
capsule molle;0;VITAMINE E SANDOZ 500 mg, capsule molle
comprimé pelliculé;1;ROPINIROLE;ADARTREL 2 mg, comprimé pelliculé
comprimé pelliculé;1;BOSENTAN;BOSENTAN ACCORD 62,5 mg, comprimé pelliculé
gélule;0;DIACEREINE ZENTIVA 50 mg, gélule
collyre en solution;0;LACRIFLUID 0,13 %, collyre en solution
comprimé à croquer;0;SULFURYL 200 mg, comprimé à croquer
comprimé pelliculé;0;EPLERENONE ZYDUS 50 mg, comprimé pelliculé
comprimé pelliculé à libération prolongée;1;ROPINIROLE;ROPINIROLE SANDOZ LP 4 mg, comprimé pelliculé à libération prolongée
solution injectable;0;DROLEPTAN 2,5 mg/1 ml, solution injectable (IV)
comprimé enrobé sécable;0;TENORMINE 100 mg, comprimé enrobé sécable
solution pour perfusion;0;CHLORURE DE POTASSIUM 0,3 % ET CHLORURE DE SODIUM 0,9 % KABI, solution pour perfusion
comprimé pelliculé sécable;0;VALSARTAN ARROW 40 mg, comprimé pelliculé sécable
comprimé pelliculé;0;LOSARTAN/HYDROCHLOROTHIAZIDE ARROW LAB 100 mg/12,5 mg, comprimé pelliculé
crème;0;GLYCEROL/VASELINE/PARAFFINE MYLAN 15 %/8 %/2 %, crème
comprimé pelliculé sécable;0;PIRACETAM BIOGARAN 800 mg, comprimé pelliculé sécable
comprimé pelliculé;1;BOSUTINIB;BOSULIF 100 mg, comprimé pelliculé
comprimé;0;GARDENAL 50 mg, comprimé
gélule à libération prolongée;1;VENLAFAXINE;VENLAFAXINE PFIZER LP 75 mg, gélule à libération prolongée
comprimé pelliculé sécable;0;VALSARTAN BIOGARAN 160 mg, comprimé pelliculé sécable
comprimé pelliculé;0;VALSARTAN/HYDROCHLOROTHIAZIDE ZYDUS 160 mg/12,5 mg, comprimé pelliculé
suspension injectable;0;MIXTARD 30 100 unités internationales/ml, suspension injectable
solution à diluer pour perfusion;1;DOCÉTAXEL ANHYDRE;TAXOTERE 160 mg/8 ml, solution à diluer pour perfusion
poudre pour solution injectable ou pour perfusion;1;RÉMIFENTANIL BASE;REMIFENTANIL MYLAN 2 mg, poudre pour solution injectable ou pour perfusion
gélule;0;SPIROCTAN 75 mg, gélule
sirop;0;CARBOCISTEINE RATIOPHARM CONSEIL 2 POUR CENT ENFANTS, sirop
gélule;1;RIVASTIGMINE;RIVASTIGMINE ZYDUS 4,5 mg, gélule
comprimé pelliculé;0;CLARITHROMYCINE BIPHAR 500 mg, comprimé pelliculé
système de diffusion;0;NUVARING 15 microgrammes/120 microgrammes/24 heures, système de diffusion vaginal
comprimé dispersible;1;METFORMINE BASE;METFORMINE MYLAN 1000 mg, comprimé dispersible
comprimé pelliculé;1;ROSUVASTATINE;ROSUVASTATINE POLFA PABIANICE 20 mg, comprimé pelliculé
comprimé à croquer;1;OXYDE D'ALUMINIUM;MAALOX MAUX D'ESTOMAC HYDROXYDE D'ALUMINIUM/HYDROXYDE DE MAGNESIUM 400 mg/400 mg SANS SUCRE, comprimé à croquer édulcoré à la saccharine sodique, au sorbitol et au maltitol
comprimé orodispersible;0;OLANZAPINE ACTAVIS 5 mg, comprimé orodispersible
gélule;1;RIVASTIGMINE;RIVASTIGMINE SANDOZ 6 mg, gélule
poudre pour solution pour perfusion;0;VORICONAZOLE SANDOZ 200 mg, poudre pour solution pour perfusion
comprimé pelliculé;1;ESCITALOPRAM;ESCITALOPRAM TEVA 5 mg, comprimé pelliculé
comprimé;0;ARIPIPRAZOLE SANDOZ 5 mg, comprimé
ovule;0;FAZOL G 300 mg, ovule
comprimé pelliculé;0;LETROZOLE BIOGARAN 2,5 mg, comprimé peliculé
gélule gastro-résistant(e);0;ZOLTUM 10 mg, gélule gastro-résistante
gélule à libération prolongée;0;RITALINE L.P. 40 mg, gélule à libération prolongée
gélule;0;LIPANTHYL 200 micronisé, gélule
solution pour perfusion;0;MANNITOL B. BRAUN 10 POUR CENT, solution pour perfusion
comprimé à croquer;0;XOLAAM, comprimé à croquer ou à sucer
comprimé pelliculé;0;MIANSERINE RPG 10 mg, comprimé pelliculé
solution;0;MICROLAX BEBE SORBITOL CITRATE ET LAURILSULFOACETATE DE SODIUM, solution rectale en récipient unidose
solution injectable;1;MIDAZOLAM;MIDAZOLAM ACCORD 5 mg/ml, solution injectable
comprimé pelliculé;0;IRBESARTAN BIOGARAN 150 mg, comprimé pelliculé
gel;0;GEL LARMES, gel ophtalmique en récipient unidose
gélule;0;PREGABALINE TEVA SANTE 300 mg, gélule
solution buvable en gouttes;0;BETAMETHASONE BIOGARAN 0,05 POUR CENT, solution buvable en gouttes
comprimé;0;CERTICAN 0,75 mg, comprimé
comprimé pelliculé;0;EPLERENONE ZENTIVA 50 mg, comprimé pelliculé
comprimé pelliculé;0;VALSARTAN/HYDROCHLOROTHIAZIDE RATIOPHARM 160 mg/25 mg, comprimé pelliculé
comprimé orodispersible;0;ZOLMITRIPTAN EVOLUGEN 2,5 mg, comprimé orodispersible
solution buvable;0;OXOMEMAZINE TEVA 0,33 mg/ml SANS SUCRE, solution buvable édulcorée à l'acésulfame potassique
comprimé pelliculé sécable;0;RISPERIDONE MYLAN PHARMA 1 mg, comprimé pelliculé sécable
comprimé sécable;0;OXYBUTYNINE BIOGARAN 5 mg, comprimé sécable
gélule à libération prolongée;1;VENLAFAXINE;VENLAFAXINE SANDOZ LP 75 mg, gélule à libération prolongée
gélule;0;DIACEREINE BIOGARAN 50 mg, gélule
comprimé à sucer ou à croquer;2;CALCIUM ÉLÉMENT;CHOLÉCALCIFÉROL;CACIT VITAMINE D3 500 mg/440 UI, comprimé à sucer ou à croquer
collyre en solution;0;PILOCARPINE 2 POUR CENT FAURE, collyre en solution en récipient unidose
comprimé sécable à libération modifiée;0;GLICLAZIDE EG 60 mg, comprimé sécable à libération mofifiée
capsule;0;UN ALFA 0,25 microgramme, capsule orale
comprimé gastro-résistant(e);1;ÉSOMÉPRAZOLE;ESOMEPRAZOLE ARROW 40 mg, comprimé gastro-résistant
comprimé à croquer;0;RENNIE ORANGE, comprimé à croquer
poudre pour suspension buvable;0;DIACOMIT 250 mg, poudre pour suspension buvable en sachet
crème;0;ECONAZOLE TEVA SANTE 1 POUR CENT, crème
comprimé pelliculé;0;IRBESARTAN HYDROCHLOROTHIAZIDE ZENTIVA 300 mg/12,5 mg, comprimé pelliculé
comprimé pelliculé;0;DONEPEZIL SANDOZ 10 mg, comprimé pelliculé
comprimé pelliculé;1;ACIDE RISÉDRONIQUE;RISEDRONATE BGR 75 mg, comprimé pelliculé
comprimé quadrisécable;0;BROMAZEPAM ZENTIVA 6 mg, comprimé quadrisécable
comprimé sécable;0;SPIRONOLACTONE BIOGARAN 25 mg, comprimé sécable
solution buvable;0;CLARIX TOUX SECHE DEXTROMETHORPHANE 15 mg/5 ml ADULTES SANS SUCRE, solution buvable en sachet édulcorée à la saccharine sodique
comprimé sécable;0;ATACAND 16 mg, comprimé sécable
solution pour application;2;DIGLUCONATE DE CHLORHEXIDINE;CHLORURE DE BENZALKONIUM;DERMOBACTER, solution pour application cutanée
gélule à libération prolongée;0;DILTIAZEM MYLAN LP 300 mg, gélule à libération prolongée
solution à diluer pour perfusion;0;DOCETAXEL PFIZER 10 mg/ml, solution à diluer pour perfusion
gélule;0;NIFUROXAZIDE SANDOZ 200 mg, gélule
poudre pour solution à diluer pour perfusion;1;CASPOFUNGINE BASE;CASPOFUNGINE OHRE PHARMA 70 mg, poudre pour solution à diluer pour perfusion
suspension pour inhalation par nébuliseur;0;BECLOMETASONE TEVA 800 microgrammes/ 2 ml, suspension pour inhalation par nébuliseur en récipient unidose
solution buvable gouttes;0;HISTOFLUINE P, solution buvable en gouttes
solution injectable à diluer;0;PERFANE 100 mg/20 ml, solution injectable à diluer pour voie I.V.
solution injectable;0;TRACRIUM 50 mg/5 ml (1 POUR CENT), solution injectable en ampoule
 comprimé et solution(s) et granules et poudre et pommade;0;CLEMATIS VITALBA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
gaz pour inhalation;0;ENTONOX 135 bar, gaz pour inhalation, en bouteille
gélule;0;PIROXICAM BIOGARAN 10 mg, gélule
comprimé pelliculé;0;GABAPENTINE TEVA 800 mg, comprimé pelliculé
comprimé pelliculé;0;ARIMIDEX 1 mg, comprimé pelliculé
solution injectable;1;BUPRÉNORPHINE;TEMGESIC 0,3 mg/ml, solution injectable
comprimé enrobé;0;MINIDRIL, comprimé enrobé
solution buvable;1;MAGNÉSIUM;MAGNESIUM OLIGOSOL, solution buvable en ampoule
solution buvable;1;PROPRANOLOL;HEMANGIOL 3,75 mg/ml, solution buvable
système de diffusion;0;ETONOGESTREL/ETHINYLESTRADIOL MYLAN 120 microgrammes/15 microgrammes/24 heures, système de diffusion vaginal
comprimé;0;SPIRONOLACTONE RPG 50 mg, comprimé
gélule;0;ODRIK 0,5 mg, gélule
comprimé pelliculé sécable;1;MÉMANTINE;MEMANTINE ZENTIVA 10 mg, comprimé pelliculé sécable
gélule;0;FENOFIBRATE FOURNIER 300 mg, gélule
comprimé;1;AMBROXOL BASE;MUXOL 30 mg, comprimé
comprimé pelliculé;0;BI MISSILOR 1,5 M.U.I./250 mg, comprimé pelliculé
comprimé sécable;0;SOTALOL SANDOZ 80 mg, comprimé sécable
comprimé pelliculé;0;FLOXYFRAL 100 mg, comprimé pelliculé sécable
comprimé pelliculé;0;IRBESARTAN EVOLUGEN 150 mg, comprimé pelliculé
comprimé pelliculé sécable;1;ESCITALOPRAM;ESCITALOPRAM ZYDUS 15 mg, comprimé pelliculé sécable
comprimé sécable;1;PRAMIPEXOLE BASE;PRAMIPEXOLE ZENTIVA 0,7 mg, comprimé sécable
solution injectable;1;CHLORHYDRATE DE MÉTOCLOPRAMIDE ANHYDRE;CHLORHYDRATE DE METOCLOPRAMIDE RENAUDIN 10 mg/2 mL, solution injectable en ampoule
 comprimé et solution(s) et granules et poudre et pommade;0;FAGOPYRUM ESCULENTUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
solution injectable;0;ROPIVACAÏNE KABI 10 mg/ml, solution injectable en ampoule
comprimé pelliculé;1;CLOPIDOGREL;CLOPIDOGREL ALMUS 75 mg, comprimé pelliculé
poudre et  solvant pour solution injectable;0;HELIXATE NEXGEN 250 UI, poudre et solvant pour solution injectable
granulés pour solution buvable;1;FOSFOMYCINE;FOSFOMYCINE TEVA SANTE ADULTES 3 g, granulés pour solution buvable en sachet
comprimé enrobé;0;NUROFEN RHUME, comprimé pelliculé
solution injectable;0;ARANESP 130 microgrammes, solution injectable en seringue préremplie
comprimé pelliculé sécable;1;ESCITALOPRAM;ESCITALOPRAM SANDOZ 20 mg, comprimé pelliculé sécable
comprimé pelliculé sécable;0;BENAZEPRIL ARROW 10 mg, comprimé pelliculé sécable
comprimé pelliculé sécable;0;AMISULPRIDE RATIOPHARM 400 mg, comprimé pelliculé sécable
comprimé;0;ZOLMITRIPTAN EG 2,5 mg, comprimé
solution injectable pour usage dentaire;2;ADRÉNALINE;ARTICAÏNE BASE;PRIMACAINE ADRENALINE 1/100000, solution injectable à usage dentaire
solution à diluer pour perfusion;1;DEXMÉDÉTOMIDINE;DEXDOR 100 microgrammes/ml, solution à diluer pour perfusion
comprimé pelliculé et  comprimé pelliculé;0;DROSPIRENONE/ETHINYLESTRADIOL MYLAN CONTINU 3 mg/0,02 mg, comprimé pelliculé
comprimé pelliculé;0;IBUPROFENE BIOGARAN 200 mg, comprimé pelliculé
granulés pour solution buvable;0;FERVEX ADULTES FRAMBOISE, granulés pour solution buvable en sachet
comprimé pelliculé;1;MÉMANTINE;MEMANTINE ARROW 20 mg, comprimé pelliculé
pommade;1;CIPROFLOXACINE;CILOXAN 0,3 %, pommade ophtalmique
comprimé sécable;1;LÉVOTHYROXINE SODIQUE ANHYDRE;L-THYROXIN HENNING 150 microgrammes, comprimé sécable
solution;0;BETADINE 10 %, solution vaginale en récipient unidose
poudre pour solution buvable;0;DOLIPRANE 200 mg, poudre pour solution buvable en sachet-dose
trousse pour préparation radiopharmaceutique;0;OSTEOCIS 3 mg, trousse pour préparation radiopharmaceutique
comprimé pelliculé;0;DONEPEZIL TEVA 5 mg, comprimé pelliculé
poudre et  solvant pour solution injectable;0;ALYOSTAL VENIN D'ABEILLE APIS MELLIFERA 110 microgrammes, poudre et solvant pour solution injectable
comprimé;0;REPAGLINIDE EVOLUGEN 0,5 mg, comprimé
comprimé à sucer ou à croquer;2;CALCIUM ÉLÉMENT;CHOLÉCALCIFÉROL;CALCIUM VITAMINE D3 MYLAN 500 mg/400 UI, comprimé à sucer ou à croquer
granulés effervescent(e) pour solution buvable;2;CALCIUM ÉLÉMENT;CHOLÉCALCIFÉROL;CACIT VITAMINE D3 1000 mg/880 UI, granulés effervescents pour solution buvable en sachet
comprimé pelliculé à libération prolongée;1;ROPINIROLE;ROPINIROLE EG LP 2 mg, comprimé pelliculé à libération prolongée
gélule;1;ZINC;RUBOZINC 15 mg, gélule
granulés à libération prolongée;0;MICROPAKINE L.P. 100 mg, granulés à libération prolongée en sachet-dose
comprimé pelliculé;0;DASSELTA 5 mg, comprimé pelliculé
gélule à libération prolongée;0;FLECAINIDE BIOGARAN LP 200 mg, gélule à libération prolongée
comprimé pelliculé;1;ATORVASTATINE;ATORVASTATINE EVOLUGEN PHARMA 40 mg, comprimé pelliculé
comprimé;0;ACICLOVIR RATIOPHARM 800 mg, comprimé
solution pour inhalation par nébuliseur;1;BROMURE D'IPRATROPIUM ANHYDRE;IPRATROGEN 0,5 mg/2 ml ADULTES, solution pour inhalation par nébuliseur en récipient unidose
comprimé à libération prolongée;1;DOXAZOSINE;DOXAZOSINE ARROW LP 8 mg, comprimé à libération prolongée
crème;0;MYCODECYL, crème
comprimé pelliculé;0;FRACTION FLAVONOIQUE PURIFIEE MYLAN PHARMA 500 mg, comprimé pelliculé
dispositif;0;FENTANYL SANDOZ 75 microgrammes/heure, dispositif transdermique
comprimé;0;ACICLOVIR ARROW LAB 200 mg, comprimé
comprimé orodispersible;0;ZOLMITRIPTAN ZENTIVA 2,5 mg, comprimé orodispersible
solution buvable;0;ALCAPHOR, solution buvable
solution pour perfusion;0;RESTORVOL 6 %, solution pour perfusion
solution injectable;1;MÉTHOTREXATE;METOJECT 10 mg/0,2 ml, solution injectable en seringue préremplie
comprimé sécable;1;LISINOPRIL ANHYDRE;LISINOPRIL EG 20 mg, comprimé sécable
dispositif;0;NIQUITIN 14 mg/24 heures, dispositif transdermique
comprimé pelliculé;0;LOSARTAN/HYDROCHLOROTHIAZIDE PHR LAB 50 mg/12,5 mg, comprimé pelliculé
comprimé pelliculé sécable;1;ESCITALOPRAM;ESCITALOPRAM BIOGARAN 15 mg, comprimé pelliculé sécable
comprimé sécable;0;RAMIPRIL BOUCHARA RECORDATI 10 mg, comprimé sécable
comprimé pelliculé sécable;0;VICTAN 2 mg, comprimé pelliculé sécable
solution injectable;0;KINERET 100 mg, solution injectable en seringue préremplie
comprimé pelliculé sécable à libération prolongée;0;TEGRETOL L.P. 200 mg, comprimé pelliculé sécable à libération prolongée
solution injectable;0;ALPROSTADIL PANPHARMA 0,5 mg/ml, solution injectable
solution buvable;0;HEPATOUM, solution buvable
comprimé pelliculé sécable;1;QUINAPRIL BASE;QUINAPRIL ARROW 5 mg, comprimé pelliculé sécable
comprimé enrobé;0;GESTODENE/ETHINYLESTRADIOL EG 75 microgrammes/20 microgrammes, comprimé enrobé
solution injectable;2;CHLORHYDRATE DE LIDOCAÏNE ANHYDRE;ADRÉNALINE;LIDOCAÏNE 20 mg/ml ADRENALINE 0,005 mg/ml AGUETTANT, solution injectable
comprimé;0;AMBROXOL ARROW 30 mg, comprimé
suspension pour application;0;SELSUN 2,5 POUR CENT, suspension pour application cutanée
comprimé pelliculé;1;ALISKIRÈNE;RASILEZ 300 mg, comprimé pelliculé
gélule;1;FLUVASTATINE;FLUVASTATINE ZENTIVA 40 mg, gélule
comprimé pelliculé;2;LERCANIDIPINE;ÉNALAPRIL;LERCAPRESS 20 mg/20 mg, comprimé pelliculé
comprimé à libération prolongée;1;QUÉTIAPINE;QUETIAPINE ZENTIVA LP 300 mg, comprimé à libération prolongée
gélule;1;FLUOXÉTINE BASE;FLUOXETINE ARROW 20 mg, gélule
gélule;1;RIVASTIGMINE;RIVASTIGMINE ACTAVIS 6 mg, gélule
gélule;0;PREGABALINE CRISTERS 75 mg, gélule
gélule gastro-résistant(e);0;LANSOPRAZOLE PHR LAB 30 mg, gélule gastro-résistante
gélule;0;RETROVIR 250 mg, gélule
comprimé dispersible;1;AMOXICILLINE ANHYDRE;AMOXICILLINE EG LABO 1 g, comprimé dispersible
gel;1;DICLOFÉNAC SODIQUE;DICLOFENAC RATIOPHARM CONSEIL 1 %, gel
solution à diluer injectable;0;IASOdopa 0,3 GBq/mL, solution à diluer injectable
gélule à libération prolongée;0;DILTIAZEM SANDOZ LP 90 mg, gélule à libération prolongée
poudre et  dispersion et  solvant pour solution à diluer pour dispersion pour perfusion;0;MYOCET 50 mg, poudre, dispersion et solvant pour solution à diluer pour dispersion pour perfusion
comprimé pelliculé;0;SPIRONOLACTONE MYLAN 75 mg, comprimé pelliculé
comprimé sécable;1;LISINOPRIL ANHYDRE;LISINOPRIL/HYDROCHLOROTHIAZIDE TEVA 20 mg/12,5 mg, comprimé sécable
solution buvable;0;AMBROXOL ARROW 0,6 %, solution buvable
comprimé pour solution buvable;0;HYDROCLONAZONE 12,2 mg, comprimé pour solution buvable
dispositif;1;BÊTA-ESTRADIOL;VIVELLEDOT 37,5 microgrammes/24 heures, dispositif transdermique
 comprimé et solution(s) et granules et poudre et pommade;0;ARUM TRIPHYLLUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé sécable;0;PRAVASTATINE CRISTERS PHARMA 20 mg, comprimé sécable
émulsion pour perfusion;2;GLUCOSE ANHYDRE;LYSINE;OLIMEL N7E, émulsion pour perfusion
comprimé;0;BETAHISTINE EG 8 mg, comprimé
comprimé pelliculé;1;ACIDE RISÉDRONIQUE;RISEDRONATE MYLAN PHARMA 35 mg, comprimé pelliculé
gélule;0;NICERGOLINE TEVA 10 mg, gélule
comprimé pelliculé;1;RISÉDRONATE MONOSODIQUE ANHYDRE;RISEDRONATE ARROW 35 mg, comprimé pelliculé
comprimé;1;RILMÉNIDINE;RILMENIDINE TEVA 1 mg, comprimé
poudre et  solvant pour solution injectable;0;FEIBA 500 U/20 ml, poudre et solvant pour solution injectable
poudre pour suspension buvable;2;CLAVULANIQUE (ACIDE);AMOXICILLINE ANHYDRE;AMOXICILLINE ACIDE CLAVULANIQUE MYLAN 100 mg/12,5 mg par ml ENFANTS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1)
comprimé pelliculé sécable;0;BENAZEPRIL MYLAN 10 mg, comprimé pelliculé sécable
comprimé sécable;1;PÉRINDOPRIL;PERINDOPRIL BIOGARAN 4 mg, comprimé sécable
 comprimé et solution(s) et granules et poudre et pommade;0;VINCA MINOR BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé;1;RUXOLITINIB;JAKAVI 15 mg, comprimé
gélule;0;TRANDOLAPRIL BIOGARAN 2 mg, gélule
comprimé pelliculé;0;IRBESARTAN ZYDUS 150 mg, comprimé pelliculé
comprimé orodispersible;0;VIZARSIN 50 mg, comprimé orodispersible
solution et  solution pour dialyse péritonéale;1;GLUCOSE ANHYDRE;PHYSIONEAL 40 GLUCOSE 1,36 %, solution pour dialyse péritonéale
 crème et solution et granules et poudre et pommade;0;ZINCUM VALERIANICUM WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé pelliculé;1;ROSUVASTATINE;ROSUVASTATINE SANDOZ 10 mg, comprimé pelliculé
comprimé pelliculé;0;BRUFEN 400 mg, comprimé pelliculé
capsule molle;0;CURACNE 10 mg, capsule molle
comprimé pelliculé sécable;1;CIBENZOLINE;EXACOR 130 mg, comprimé pelliculé sécable
