1;PÉRINDOPRIL|1,669  mg;PERINDOPRIL KRKA 2 mg, comprimé
0;PASSEDYL ENFANTS ET NOURRISSONS, sirop
1;AMOXICILLINE ANHYDRE|500 mg;AMOXICILLINE BIOGARAN 500 mg, gélule
1;NÉBIVOLOL BASE|5 mg;NEBIVOLOL EVOLUGEN 5 mg, comprimé quadrisécable
0;NISISCO 160 mg/12,5 mg, comprimé pelliculé
0;TOBREX 0,3 %, collyre en solution
2;VILANTÉROL|22 microgrammes;UMÉCLIDINIUM|55 microgrammes;ELEBRATO ELLIPTA 92 microgrammes/55 microgrammes/22 microgrammes, poudre pour inhalation en récipient unidose
1;ATORVASTATINE|10 mg;ATORVASTATINE ARROW 10 mg, comprimé pelliculé
0;CANDESARTAN/HYDROCHLOROTHIAZIDE EG LABO 8 mg/12,5 mg, comprimé
0;ANASTROZOLE ARROW 1 mg, comprimé pelliculé
0;FORMODUAL 100/6 microgrammes/dose, solution pour inhalation en flacon pressurisé
1;OXYCODONE|17,9 mg;OXYCODONE EG LP 20 mg, comprimé pelliculé à libération prolongée
1;CÉFADROXIL|500 mg;CEFADROXIL EG 500 mg, gélule
0;SEPTIVON 1,5 %, solution pour application cutanée
1;THÉOPHYLLINE ANHYDRE|300 mg;XANTHIUM L P 300 mg, gélule à libération prolongée
0;ATEBEMYXINE, pommade ophtalmique
1;IODE|35 g;TELEBRIX 35 (350 mg l/mL), solution injectable
0;NIQUITIN 7 mg/24 heures, dispositif transdermique
1;ACIDE FOLINIQUE|10 mg;FOLINATE DE CALCIUM SANDOZ 10 mg/ml, solution injectable
0;PRAVASTATINE BIOGARAN 20 mg, comprimé pelliculé sécable
2;COBALT|0.029 mg;MANGANÈSE|0.027 mg;OLIGOSTIM MANGANESE COBALT, comprimé
0;ZAVEDOS 5 mg, gélule
0;BILTRICIDE 600 mg, comprimé pelliculé quadrisécable
0;ALFATIL 250 mg, gélule
0;ACETYLCYSTEINE BIOGARAN CONSEIL 200 mg, poudre pour solution buvable en sachet
0;TOPIRAMATE BGR 100 mg, comprimé pelliculé
0;LEVODOPA/CARBIDOPA/ENTACAPONE ARROW 175 mg/43,75 mg/200 mg, comprimé pelliculé
1;FENTANYL|200 microgrammes;BREAKYL 200 microgrammes, film orodispersible
0;LEVETIRACETAM MYLAN 100 mg/ml, solution à diluer pour perfusion
0;TRIMEBUTINE RATIO 100 mg, comprimé pelliculé
0;OTIPAX, solution pour instillation auriculaire
0;VINCRISTINE TEVA 1 mg/ml, solution injectable
0;SPIRONOLACTONE TEVA 75 mg, comprimé pelliculé sécable
1;TÉNOFOVIR DISOPROXIL|245 mg;EFAVIRENZ/EMTRICITABINE/TENOFOVIR DISOPROXIL BIOGARAN 600 mg/200 mg/245 mg, comprimé pelliculé
0;DIOVENOR 600 mg, poudre pour suspension buvable en sachet-dose
0;TRIMEBUTINE EG 200 mg, comprimé
0;CITRATE DE BETAINE CRISTERS 10 POUR CENT, granulés
0;PO 12 2 POUR CENT, crème
0;ROFERON-A 4,5 millions d’unités internationales (UI), solution injectable en seringue préremplie
1;METFORMINE BASE|390 mg;METFORMINE ZENTIVA 500 mg, comprimé pelliculé
1;KETOTIFÈNE BASE|2 mg;ZADITEN L.P. 2 mg, comprimé pelliculé à libération prolongée
0;FLUCONAZOLE MYLAN 2 mg/ml, solution pour perfusion
0;RAMIPRIL KRKA 5 mg, comprimé
1;ÉSOMÉPRAZOLE|20 mg;ESOMEPRAZOLE SANDOZ 20 mg, gélule gastro-résistante
0;ZONISAMIDE MYLAN 25 mg, gélule
2;GLUCOSE ANHYDRE|15 g;LACTATE DE SODIUM ANHYDRE|3,925 g;DIALYSE PERITONEALE CONTINUE AMBULATOIRE 2, solution pour dialyse péritonéale
0;NAPROXENE SODIQUE ARROW 550 mg, comprimé pelliculé sécable
0;ATOVAQUONE/PROGUANIL TEVA 62,5 mg/25 mg ENFANTS, comprimé pelliculé
0;MIANSERINE RATIOPHARM 60 mg, comprimé pelliculé sécable
0;ATENOLOL EVOLUGEN 50 mg, comprimé pelliculé sécable
0;PREGABALINE BIOGARAN 25 mg, gélule
0;SIVEXTRO 200 mg, poudre pour solution à diluer pour perfusion
0;CONTRACNE 20 mg, capsule molle
0;PREPIDIL INTRACERVICAL, gel stérile intracervical
0;LUTRELEF 3,2 mg, poudre et solvant pour solution injectable
1;MONTÉLUKAST|10 mg;MONTELUKAST ZENTIVA LAB 10 mg, comprimé pelliculé
0;VIEKIRAX 12,5 mg/75 mg/50 mg, comprimé pelliculé
0;DESLORATADINE ZYDUS 5 mg, comprimé pelliculé
0;LUCENTIS 10 mg/ml, solution injectable en seringue préremplie
0;BISOPROLOL ZENTIVA 10 mg, comprimé pelliculé sécable
1;SERTRALINE BASE|50 mg;SERTRALINE ISOMED 50 mg, comprimé pelliculé
0;FLIXOVATE 0,05 %, crème
0;ACARBOSE SANDOZ 50 mg, comprimé
0;TILDIEM 100 mg, poudre pour solution injectable (I.V.)
0;NIFEDIPINE MYLAN L.P.30 mg, comprimé pelliculé à libération prolongée
0;VENCLYXTO 100 mg, comprimé pelliculé
1;GLUCOSE ANHYDRE|30 g;GLUCOSE 30 % MACOPHARMA, solution pour perfusion
0;POTASSIUM LIBERTY PHARMA 440 mg/ 15 ml, sirop en sachet-dose
1;ZINC|15 mg;EFFIZINC 15 mg, gélule
0;FACTANE 100 UI/mL, poudre et solvant pour solution injectable
0;PARACETAMOL CODEINE EG 500 mg/30 mg, comprimé effervescent sécable
1;ACÉBUTOLOL BASE|200 mg;ACEBUTOLOL CRISTERS 200 mg, comprimé pelliculé
0;TISSUCOL KIT, poudres, solution et solvant pour colle intralésionnelle
1;HYDROCORTISONE|0,5 g;APHILAN DEMANGEAISONS 0,5 %, crème
1;MINOCYCLINE BASE|100,00 mg;MINOCYCLINE EG 100 mg, gélule
0;VALSARTAN RANBAXY 80 mg, comprimé pelliculé
0;NEURONTIN 400 mg, gélule
0;LATANOPROST RANBAXY 50 microgrammes/ml, collyre en solution
1;TAMSULOSINE|0,367 mg;OMEXEL L.P. 0,4 mg, comprimé pelliculé à libération prolongée
1;TÉNOFOVIR DISOPROXIL|245 mg;TENOFOVIR DISOPROXIL ZENTIVA 245 mg, comprimé pelliculé
1;NÉBIVOLOL BASE|5 mg;NEBIVOLOL SANDOZ 5 mg, comprimé quadrisécable
1;GALANTAMINE|24 mg;GALANTAMINE ZENTIVA LAB LP 24 mg, gélule à libération prolongée
0;DIAFUSOR 10 mg/24 heures, dispositif transdermique
1;MAGNÉSIUM|59 mg;SPASMAG, gélule
1;CLOPIDOGREL|75 mg;PLAVIX 75 mg, comprimé pelliculé
2;CHLORHYDRATE DE BUPIVACAÏNE ANHYDRE|2,5000 mg;ADRÉNALINE|0,0050 mg;BUPIVACAINE AGUETTANT 2,5 mg/mL ADRENALINE, solution injectable
1;LISINOPRIL ANHYDRE|5 mg;LISINOPRIL BIOGARAN 5 mg, comprimé sécable
1;MONTÉLUKAST|5 mg;SINGULAIR 5 mg, comprimé à croquer
0;KALIUM SULFURICUM WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;NUCALA 100 mg, poudre pour solution injectable
0;VICTAN 2 mg, comprimé pelliculé sécable
2;CILASTATINE ANHYDRE|500 mg;IMIPÉNEM ANHYDRE|500 mg;IMIPENEM CILASTATINE RANBAXY 500 mg/500 mg, poudre pour solution pour perfusion
0;ZERIT 30 mg, gélule
0;CINA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;MAGNESIA MURIATICA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;GLIMEPIRIDE EVOLUGEN 4 mg, comprimé
1;ROSUVASTATINE|5 mg;ROSUVASTATINE CRISTERS 5 mg, comprimé pelliculé
1;TÉNOFOVIR DISOPROXIL|245 mg;EFAVIRENZ/EMTRICITABINE/TENOFOVIR DISOPROXIL MYLAN 600 mg/200 mg/245 mg, comprimé pelliculé
2;CHLORHYDRATE DE LIDOCAÏNE ANHYDRE|10,00 mg;ADRÉNALINE|0,0100 mg;LIDOCAINE 10 mg/mL ADRENALINE 0,0100 mg/mL AGUETTANT, solution injectable
1;TÉRAZOSINE BASE|5 mg;DYSALFA 5 mg, comprimé
0;FLUARIX, suspension injectable en seringue préremplie. Vaccin grippal inactivé à virion fragmenté
1;ÉSOMÉPRAZOLE|20 mg;ESOMEPRAZOLE MYLAN 20 mg, gélule gastro-résistante
1;SALMÉTÉROL BASE|50 microgrammes;SEREVENT DISKUS 50 microgrammes par dose, poudre pour inhalation
0;ELUSANES FRAGON 200 mg, gélule
2;CHLORHYDRATE DE LIDOCAÏNE ANHYDRE|30,00 mg;NORADRÉNALINE|0,04 mg;XYLONOR 30 mg/mL NORADRENALINEE au 1/25 000, solution injectable à usage dentaire
0;LEDUM PALUSTRE BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;FLECAÏNE L.P. 50 mg, gélule à libération prolongée
0;CHLORURE DE POTASSIUM PROAMP 0,0746 g/ml, solution à diluer pour perfusion
1;PICLOXYDINE BASE|0,0434 g;VITABACT 0,05 POUR CENT, collyre
0;LOVAVULO 20 microgrammes/100 microgrammes, comprimé pelliculé
0;ERYTHEDERMYL 5 %, pommade
2;AMLODIPINE|5 mg;PÉRINDOPRIL|3,34 mg;PERINDOPRIL/AMLODIPINE HCS 4 mg/5 mg, comprimé
0;DESOGESTREL ETHINYLESTRADIOL BIOGARAN 150 microgrammes/20 microgrammes, comprimé enrobé
0;DINUTUXIMAB BETA APEIRON 4,5 mg/ml, solution à diluer pour perfusion
0;GESTODENE/ETHINYLESTRADIOL SANDOZ 75 microgrammes/20 microgrammes, comprimé enrobé
0;ARIPIPRAZOLE SANDOZ 5 mg, comprimé
1;IVABRADINE|5 mg;IVABRADINE CRISTERS 5 mg, comprimé pelliculé sécable
0;TRANSULOSE 3,50 g/4,29 g/2,14 g pour 10 g, pâte orale en sachet
0;BICALUTAMIDE ZYDUS 50 mg, comprimé pelliculé
1;ACÉBUTOLOL BASE|4 g;SECTRAL 40 mg/ml, solution buvable en flacon
0;BENAZEPRIL/HYDROCHLOROTHIAZIDE ARROW 10 mg/12,5 mg, comprimé pelliculé sécable
0;SIMVASTATINE ACTAVIS 20 mg, comprimé pelliculé sécable
2;ACIDE ACÉTYLSALICYLIQUE|900 mg;MÉTOCLOPRAMIDE|10 mg;MIGPRIV, poudre pour solution buvable en sachet
0;RITALINE LP 10 mg, gélule à libération prolongée
0;ISOPTINE L.P. 240 mg, comprimé pelliculé sécable à libération prolongée
0;LINEZOLIDE MYLAN PHARMA 600 mg, comprimé pelliculé
0;OLANZAPINE ARROW GENERIQUES 10 mg, comprimé orodispersible
1;CALCIUM ÉLÉMENT|500,00 mg;FIXICAL 500 mg, comprimé à croquer ou à sucer
0;METHOTREXATE MYLAN 25 mg/ml, solution injecable
0;KALIUM BROMATUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;BRONCHODERMINE, pommade
1;TÉNOFOVIR DISOPROXIL|245 mg;EFAVIRENZ/EMTRICITABINE/TENOFOVIR DISOPROXIL KRKA 600 mg/200 mg/245 mg, comprimé pelliculé
0;ENTONOX 170 bar, gaz pour inhalation, en bouteille
1;CEFTRIAXONE BASE|1 g;CEFTRIAXONE ARROW 1 g/3,5 ml, poudre et solvant pour solution injectable (IM)
1;PANTOPRAZOLE|40 mg;PANTOPRAZOLE RATIOPHARM 40 mg, comprimé gastro-résistant
0;SELOZOK L.P. 23,75 mg, comprimé pelliculé sécable à libération prolongée
1;CHLORHYDRATE DE ROPIVACAÏNE ANHYDRE|2 mg;NAROPEINE 2 mg/ml, solution injectable en poche
0;PROPRANOLOL ACCORD 40 mg, comprimé pelliculé
1;BENZODODÉCINIUM (BROMURE DE) ANHYDRE|0,004 g;PRORHINEL RHUME, solution nasale
0;LACTULOSE ARROW 10 g/15 ml, solution buvable en sachet-dose
0;AMISULPRIDE ACTAVIS 100 mg, comprimé sécable
0;ORFADIN 2 mg, gélule
0;ZOLMITRIPTAN TEVA SANTE 2,5 mg, comprimé pelliculé
0;MEDIATENSYL 30 mg, gélule
1;TÉNOFOVIR DISOPROXIL|245 mg;EMTRICITABINE/TENOFOVIR DISOPROXIL TEVA 200 mg/245 mg, comprimé pelliculé
1;FLUVASTATINE|20 mg;FLUVASTATINE EVOLUGEN 20 mg, gélule
1;CÉFUROXIME|250 mg;CEFUROXIME SANDOZ 250 mg, comprimé enrobé
0;ARANESP 50 microgrammes, solution injectable en seringue préremplie
0;SAPRAMOL 500 mg, poudre pour solution buvable en sachet-dose
0;EXTENCILLINE 1,2 MUI, poudre et solvant pour suspension injectable IM
0;LOPERAMIDE EG 2 mg, gélule
0;DOMPERIDONE ARROW 10 mg, comprimé pelliculé
1;ACIDE URIDINE-5' TRIPHOSPHORIQUE SEL TRISODIQUE ANHYDRE|2 mg;UTEPLEX 2 mg, solution buvable en ampoule
0;VALSARTAN SANDOZ 80 mg, comprimé pelliculé
1;PÉRINDOPRIL|1,67 mg;PERINDOPRIL EVOLUGEN 2 mg, comprimé
1;PREDNISOLONE|20 mg;PREDNISOLONE BIOGARAN 20 mg, comprimé orodispersible
0;CHLORURE DE SODIUM 0,9 % BIOPERF, solution pour perfusion
0;LEVETIRACETAM MYLAN 250 mg, comprimé pelliculé
0;FLUCONAZOLE ACTAVIS 200 mg, gélule
1;NINTÉDANIB|100 mg;OFEV 100 mg, capsule molle
0;HYPERHES, solution pour perfusion
0;OLANZAPINE EVOLUGEN 5 mg, comprimé orodispersible
0;ENALAPRIL EVOLUGEN 5 mg, comprimé sécable
1;TAMSULOSINE|0,367 mg;TAMSULOSINE ZENTIVA LP 0.4 mg, comprimé à libération prolongée
1;AMOXICILLINE ANHYDRE|500 mg;CLAMOXYL 500 mg, gélule
0;NICERGOLINE BIOGARAN 10 mg, gélule
0;PREGABALINE EG 150 mg, gélule
0;BECLOMETASONE CHIESI 800 microgrammes/2 ml, suspension pour inhalation par nébuliseur
0;ARANESP 60 microgrammes, solution injectable en seringue préremplie
1;LOXAPINE BASE|25 mg;LOXAPAC 25 mg, comprimé pelliculé
0;CAROMINTHE, solution buvable en gouttes
1;PHÉNYLÉPHRINE|500 microgrammes;PHENYLEPHRINE RENAUDIN 50 microgrammes/ml, solution injectable
1;CHLORPROMAZINE|100,00 mg;LARGACTIL 100 mg, comprimé pelliculé sécable
1;BENSÉRAZIDE BASE|25,00 mg;LEVODOPA BENSERAZIDE TEVA 100 mg/25 mg, gélule
0;PRAVASTATINE RATIOPHARM 20 mg, comprimé sécable
0;CALDINE 4 mg, comprimé pelliculé sécable
0;CREME DE DALIBOUR COOPER, crème
0;OXOMEMAZINE MYLAN 0,33 mg/ml, sirop
0;CABERGOLINE TEVA 0,5 mg, comprimé
0;METOJECT 22,5 mg/0,45 ml, solution injectable en stylo prérempli
0;DIOVENOR 600 mg, comprimé pelliculé
0;LOSARTAN/HYDROCHLOROTHIAZIDE ISOMED 100 mg/12,5 mg, comprimé pelliculé
1;FLUVASTATINE|80 mg;FLUVASTATINE RATIOPHARM L.P. 80 mg, comprimé pelliculé à libération prolongée
1;CHLORURE DE BENZALKONIUM|0,0125 g;RHINOFLUIMUCIL, solution pour pulvérisation nasale
0;DILTIAZEM ZENTIVA LAB LP 300 mg, gélule à libération prolongée
0;LOMUSOL 4 POUR CENT, solution pour pulvérisation nasale
0;RAMIPRIL CRISTERS 1,25 mg, comprimé
0;HEXAPNEUMINE ADULTES, sirop
0;PRAVASTATINE ZENTIVA 40 mg, comprimé
1;RABÉPRAZOLE BASE|9,42 mg;RABEPRAZOLE CRISTERS 10 mg, comprimé gastro-résistant
0;LEFLUNOMIDE EG 20 mg, comprimé pelliculé
0;LOSARTAN ARROW 100 mg, comprimé pelliculé
1;CIPROFLOXACINE|250 mg;CIPROFLOXACINE BIOGARAN 250 mg, comprimé pelliculé
0;TRANSVERCID 3,62 mg/6 mm, dispositif pour application cutanée
0;IBUPRADOLL 200 mg, comprimé pelliculé
0;GELISTROL 50 microgrammes/g, gel vaginal
0;TILIA EUROPAEA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;APURONE, comprimé
0;PHOCYTAN 0,66 mmol/ml, solution à diluer pour perfusion
1;ALISKIRÈNE|300 mg;RASILEZ 300 mg, comprimé pelliculé
0;MOXONIDINE EG 0,2 mg, comprimé pelliculé
0;LODOZ 10 mg/6,25 mg, comprimé pelliculé
0;PULMOTEC, Creuset de graphite pour la préparation de Technegas pour inhalation
0;XYLOCONTACT, crème pour usage dentaire
0;ABIES PECTINATA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
2;CLAVULANIQUE (ACIDE)|12,50 mg;AMOXICILLINE ANHYDRE|100 mg;AMOXICILLINE/ACIDE CLAVULANIQUE TEVA SANTE 100 mg/12,50 mg par ml NOURRISSONS, poudre pour suspension buvable en flacon (Rapport amoxicilline/acide clavulanique: 8/1)
0;RHINADVIL RHUME IBUPROFENE/PSEUDOEPHEDRINE, comprimé enrobé
0;GLIMEPIRIDE MYLAN PHARMA 4 mg, comprimé
0;ARCOXIA 30 mg, comprimé pelliculé
0;FRAGMINE 18 000 U.I. anti-Xa/0,72 ml, solution injectable en seringue pré-remplie
1;ÉRIBULINE|0,88 mg;HALAVEN 0,44 mg/ml, solution injectable
13;RÉTINOL|4000 UI;MAGNÉSIUM|100 mg;ALPHA-TOCOPHÉROL|15 mg;ZINC|7,5 mg;PHOSPHORE|125 mg;FER|60 mg;PYRIDOXINE|2,6 mg;ASCORBIQUE (ACIDE)|100 mg;CALCIUM ÉLÉMENT|125 mg;MANGANÈSE|1 mg;CUIVRE|1 mg;CHOLÉCALCIFÉROL|500 UI;CHLORHYDRATE DE THIAMINE|1,6 mg;ELEVIT VITAMINE B9, comprimé pelliculé
2;GLUCOSE ANHYDRE|42,5 g;LACTATE DE SODIUM ANHYDRE|3,925 g;NEUTRAVERA GLUCOSE 4,25 % CALCIUM 1,25 mmol/l, solution pour dialyse péritonéale
0;BINOCRIT 30 000 UI/0,75 ml, solution injectable en seringue préremplie
0;MELIANE, comprimé enrobé
0;ACARIZAX 12 SQ-HDM, lyophilisat oral
0;TANGANILPRO 500 mg, comprimé
0;TENOFOVIR DISOPROXIL SANDOZ 245 mg, comprimé pelliculé
0;KETOPROFENE ZENTIVA LP 100 mg, comprimé sécable à libération prolongée
0;LANSOPRAZOLE ZYDUS FRANCE 15 mg, gélule gastro-résistante
0;ELISOR 20 mg, comprimé sécable
0;MEBEVERINE ZENTIVA 200 mg, comprimé sécable
0;TEMOZOLOMIDE TEVA 140 mg, gélule
1;GALANTAMINE|16 mg;GALANTAMINE MYLAN LP 16 mg, gélule à libération prolongée
0;EPINITRIL 10 mg/24 heures, dispositif transdermique
1;PÉRINDOPRIL|3,34 mg;PERINDOPRIL EVOLUGEN 4 mg, comprimé sécable
0;LERCANIDIPINE MYLAN 10 mg, comprimé pelliculé sécable
1;GLUCOSE ANHYDRE|30 g;GLUCOSE 30 % PROAMP, solution injectable
0;OLANZAPINE ZENTIVA 10 mg, comprimé orodispersible sécable
1;NARATRIPTAN|2,5 mg;NARATRIPTAN ARROW 2,5 mg, comprimé pelliculé
0;CREME AU CALENDULA, crème
0;REVLIMID 10 mg, gélule
0;MIANSERINE ARROW 30 mg, comprimé pelliculé sécable
1;CÉFUROXIME|250 mg;CEFUROXIME KRKA 250 mg, comprimé pelliculé
0;DILRENE L.P. 300 mg, gélule à libération prolongée
0;EPHEDRINE AGUETTANT 3 mg/ml, solution injectable en seringue préremplie
0;MYCOSTER 1 pour cent, crème
1;CÉFADROXIL|500 mg;CEFADROXIL BIOGARAN 500 mg, gélule
1;ATORVASTATINE|20 mg;ATORVASTATINE EVOLUGEN PHARMA 20 mg, comprimé pelliculé
0;DULCILARMES, collyre en solution
0;YTRACIS, précurseur radiopharmaceutique, en solution
0;MIOCHOLE 20 mg, poudre et solvant pour solution intra-oculaire
0;ESBERIVEN FORT, solution buvable en ampoule
0;TRIMEBUTINE ARROW 200 mg, comprimé
0;GLIBENCLAMIDE RATIOPHARM 5 mg, comprimé sécable
1;CÉFAZOLINE BASE|1 g;CEFAZOLINE PANPHARMA 1 g/5 ml, poudre et solution pour usage parentéral (IV)
0;FUSIDATE DE SODIUM ESSENTIAL PHARMA 500 mg, poudre et solution pour usage parentéral à diluer
0;ARKOGELULES FUCUS, gélule
0;ACICLOVIR CRISTERS 800 mg, comprimé
0;PRISTAM 500 mg, comprimé pelliculé
0;PEVARYL 1 POUR CENT, poudre pour application locale en flacon poudreur
0;COCCULUS INDICUS WELEDA, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH
0;ANTALNOX 550 mg, comprimé pelliculé sécable
0;PARACETAMOL PANPHARMA 10 mg/ml, solution pour perfusion
0;TRIMEBUTINE BIOGARAN 200 mg, comprimé
1;GLUCOSE ANHYDRE|10 g;GLUCOSE 10 % MACOPHARMA, solution pour perfusion
0;FUROSEMIDE ZENTIVA 500 mg, comprimé sécable
0;BETADINE 10 POUR CENT, solution pour gargarisme ou solution pour bain de bouche en récipient unidose
0;HEXABRIX 320 (320 mg l/mL), solution injectable
0;AMAREL 4 mg, comprimé
0;OLANZAPINE TEVA 5 mg, comprimé pelliculé
0;JINARC 30 mg, comprimé, JINARC 90 mg, comprimé
0;DELTYBA 50 mg, comprimé pelliculé
1;ROSUVASTATINE|20 mg;ROSUVASTATINE CRISTERS 20 mg, comprimé pelliculé
0;MINERVA 35 microgrammes, comprimé enrobé
1;ILOPROST|0,01 mg;VENTAVIS 10 microgrammes/ml, solution pour inhalation par nébuliseur
0;IBUPRADOLL 400 mg, capsule molle
0;MYAMBUTOL 400 mg, comprimé pelliculé sécable
0;RIFADINE IV 600 mg, poudre et solvant pour solution pour perfusion
1;GLUCOSE ANHYDRE|50 mg;GLUCOSE 5 % MACOPHARMA, solution pour perfusion
0;LYSOPAÏNE MAUX DE GORGE AMBROXOL CITRON 20 mg SANS SUCRE, pastille édulcorée au sorbitol et au sucralose
0;LETROZOLE ISOMED 2,5 mg, comprimé pelliculé
0;ORIGANUM MAJORANA WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;ACIDE FUSIDIQUE SANDOZ 2 %, crème
0;OXOMEMAZINE TEVA 0,33 mg/ml, sirop
1;BENZOYLE (PEROXYDE DE) ANHYDRE|10 g;CUTACNYL 10 POUR CENT, gel pour application locale
0;QUIETILINE, comprimé quadrisécable
0;ALPRAZOLAM EVOLUGEN 0,25 mg, comprimé sécable
0;PROGYNOVA 2 mg, comprimé enrobé
0;IRBESARTAN/HYDROCHLOROTHIAZIDE SANDOZ 300 mg/12,5 mg, comprimé pelliculé
0;PLASMAVOLUME 6 %, solution pour perfusion
0;JAMYLENE 50 mg, comprimé enrobé
0;VOLUVEN, solution pour perfusion
0;KETOSTERIL, comprimé enrobé
0;KYPROLIS 10 mg, poudre pour solution pour perfusion
0;FOSINOPRIL EG 10 mg, comprimé sécable
0;GRANUDOXY 100 mg, comprimé pelliculé sécable
1;ACIDE RISÉDRONIQUE|32,5 mg;RISEDRONATE BGR 35 mg, comprimé pelliculé
0;ALLOPURINOL RANBAXY 300 mg, comprimé
0;CALCITONINE SANDOZ 50 U.I./1 ml, solution injectable
0;ACETATE DE CYPROTERONE ARROW 100 mg, comprimé sécable
0;DAFALGAN CODEINE, comprimé pelliculé
1;KETOTIFÈNE BASE|0,250 mg;ZALERGONIUM 0,25 mg/ml, collyre en solution
0;ERIGERON CANADENSIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;INFRACYANINE 25 mg/10 ml, poudre et solvant pour solution injectable
0;AMIODARONE RATIOPHARM 200 mg, comprimé sécable
1;RIZATRIPTAN|5 mg;RIZATRIPTAN EG 5 mg, comprimé
1;PONATINIB|30 mg;ICLUSIG 30 mg, comprimé pelliculé
0;FENOFIBRATE TEVA 100 mg, gélule
0;CYPROTERONE MYLAN 50 mg, comprimé
1;NICOTINE|2 mg;NICORETTE MENTHE GLACIALE 2 mg SANS SUCRE, gomme à mâcher médicamenteuse édulcorée au xylitol et à l'acésulfame potassique
0;COZAAR 2,5 mg/ml, poudre et solvant pour suspension buvable
0;HUMEX MAL DE GORGE LIDOCAINE/ALCOOL DICHLOROBENZYLIQUE/AMYLMETACRESOL 2 mg/1,2 mg/0,6 mg MENTHE GLACIALE SANS SUCRE, pastille édulcorée à la saccharine sodique, au maltitol et à l'isomalt
1;PREDNISOLONE|5,000 mg;SOLUPRED 5 mg, comprimé effervescent
1;ROPINIROLE|8 mg;ROPINIROLE ZENTIVA LP 8 mg, comprimé pelliculé à libération prolongée
1;IMATINIB|400 mg;IMATINIB ZENTIVA 400 mg, comprimé pelliculé
1;CÉFACLOR ANHYDRE|375 mg;ALFATIL L.P. 375 mg, comprimé pelliculé à libération prolongée
0;KANJINTI 420 mg, poudre pour solution à diluer pour perfusion
0;REVAXIS, suspension injectable en seringue préremplie. vaccin diphtérique, tétanique et poliomyélitique (inactivé), (adsorbé)
0;ZYVOXID 600 mg, comprimé pelliculé
0;SILODYX 4 mg, gélule
0;ALTEISDUO 40 mg/12,5 mg, comprimé pelliculé
0;NIFUROXAZIDE SANDOZ CONSEIL 200 mg, gélule
0;ADCIRCA 20 mg, comprimé pelliculé
1;ROPINIROLE|2 mg;ROPINIROLE MYLAN 2 mg, comprimé pelliculé
0;CHONDROSULF 1200 mg SANS SUCRE, gel oral édulcoré au xylitol
0;DILTIAZEM SANDOZ LP 300 mg, gélule à libération prolongée
1;LÉVOFLOXACINE|500 mg;LEVOFLOXACINE EG 500 mg, comprimé pelliculé sécable
1;CARBIDOPA ANHYDRE|12,5 mg;LEVODOPA/CARBIDOPA/ENTACAPONE MYLAN 50 mg/12,5 mg/200 mg, comprimé pelliculé
0;GLICLAZIDE ZYDUS 30 mg, comprimé à libération modifiée
1;ATORVASTATINE|40 mg;ATORVASTATINE BLUEFISH 40 mg, comprimé pelliculé
0;ENALAPRIL RANBAXY 20 mg, comprimé
0;ALPRAZOLAM BIOGARAN 0,50 mg, comprimé sécable
1;PRAMIPEXOLE BASE|0,18 mg;PRAMIPEXOLE ZENTIVA 0,18 mg, comprimé sécable
1;PÉRINDOPRIL|1,669 mg;PERINDOPRIL ISOMED 2 mg, comprimé
1;VALACICLOVIR|500 mg;VALACICLOVIR CRISTERS 500 mg, comprimé pelliculé
0;LANTUS 100 unités/ ml, solution injectable en cartouche
1;TACROLIMUS ANHYDRE|2 mg;ADOPORT 2 mg, gélule
0;EPLERENONE CRISTERS 25 mg, comprimé pelliculé
1;CEFTRIAXONE BASE|1 g;CEFTRIAXONE EVOLUGEN 1 g/3,5 ml, poudre et solvant pour solution injectable (IM)
0;ZANOSAR, lyophilisat pour préparation injectable
0;CONFIDEX 250 UI, poudre et solvant pour solution injectable
0;HOMEOGENE 46, comprimé orodispersible
1;ADRÉNALINE|150 microgrammes;EMERADE 150 microgrammes, solution injectable en stylo pré-rempli
1;ADRÉNALINE|0,005 mg;ARTINIBSA 40 mg/mL ADRENALINE 1/200000, solution injectable à usage dentaire
0;ZIACAINE, solution pour usage dentaire en flacon pulvérisateur
0;ACTISKENAN 20 mg, gélule
1;PÉRINDOPRIL|6,676 mg;PERINDOPRIL EG 8 mg, comprimé
0;CEREZYME 400 U, poudre pour solution à diluer pour perfusion
1;RILMÉNIDINE|1,0 mg;RILMENIDINE TEVA 1 mg, comprimé
1;AMOXICILLINE ANHYDRE|500 mg;AMOXICILLINE ZYDUS 500 mg/5 ml, poudre pour suspension buvable
0;ARKOGELULES CHARBON VEGETAL, gélule
