solution injectable;1;DROPÉRIDOL;DROPERIDOL PANPHARMA 0,5 mg/ml, solution injectable
gélule à libération prolongée;1;PROPRANOLOL (CHLORHYDRATE DE);PROPRANOLOL TEVA L P 160 mg, gélule à libération prolongée
lyophilisat pour usage parentéral;1;FOLINATE DE CALCIUM;FOLINATE DE CALCIUM ZENTIVA 350 mg, lyophilisat pour usage parentéral en flacon
poudre et  solvant pour solution injectable;1;NONACOG GAMMA ;RIXUBIS 500 UI, poudre et solvant pour solution injectable
comprimé;2;ÉZÉTIMIBE;SIMVASTATINE;VYTORIN 10 mg/40 mg, comprimé
comprimé sécable;1;AMISULPRIDE;AMISULPRIDE TEVA 200 mg, comprimé sécable
solution pour perfusion;1;FLUCONAZOLE;FLUCONAZOLE MACOPHARMA 2 mg/ml, solution pour perfusion
comprimé pelliculé;1;ÉTHANOLATE DE DARUNAVIR;PREZISTA 75 mg, comprimé pelliculé
comprimé pelliculé;1;SIMVASTATINE;SIMVASTATINE BLUEFISH PHARMACEUTICAL AB 20 mg, comprimé pelliculé
solution pour inhalation par fumigation;3;GAÏACOL;CINÉOLE;LÉVOMENTHOL;ESSENCE ALGERIENNE, solution pour inhalation par fumigation
comprimé pelliculé;1;CHLORHYDRATE DE ROPINIROLE;REQUIP 5 mg, comprimé pelliculé
comprimé pelliculé sécable;1;VALSARTAN;VALSARTAN EG 40 mg, comprimé pelliculé sécable
comprimé pelliculé sécable;1;DICHLORHYDRATE DE CÉTIRIZINE;CETIRIZINE ARROW CONSEIL 10 mg, comprimé pelliculé sécable
comprimé pelliculé;1;RISÉDRONATE MONOSODIQUE ANHYDRE;RISEDRONATE MYLAN PHARMA 35 mg, comprimé pelliculé
granulés;2;CITRATE TRISODIQUE ANHYDRE;CITRATE MONOSODIQUE ANHYDRE;BI CITROL, granulé en sachet-dose
comprimé sécable;1;CHLORHYDRATE DE TERBINAFINE;TERBINAFINE SANDOZ 250 mg, comprimé sécable
dispositif;1;FENTANYL;FENTANYL RANBAXY 25 microgrammes/heure, dispositif transdermique
solution injectable;1;DROPÉRIDOL;DROPERIDOL AGUETTANT 5 mg/2 ml, solution injectable (I.M.)
comprimé gastro-résistant(e);1;RABÉPRAZOLE SODIQUE;PARIET 20 mg, comprimé gastro-résistant
comprimé;1;ACICLOVIR;ACICLOVIR SANDOZ 200 mg, comprimé
solution pour usage dentaire;2;LIDOCAÏNE;CÉTRIMIDE;ZIACAINE, solution pour usage dentaire
solution injectable;1;IOBITRIDOL;XENETIX 250 (250 mg d'iode/mL), solution injectable
comprimé orodispersible;1;OLANZAPINE;OLANZAPINE ZENTIVA 5 mg, comprimé orodispersible
comprimé pelliculé;2;HYDROCHLOROTHIAZIDE;VALSARTAN;VALSARTAN/HYDROCHLOROTHIAZIDE ZYDUS 160 mg/12,5 mg, comprimé pelliculé
comprimé pelliculé;1;GABAPENTINE;GABAPENTINE ARROW 800 mg, comprimé pelliculé
comprimé pelliculé;2;CHLORHYDRATE DE PYRIDOXINE;LACTATE DE MAGNÉSIUM DIHYDRATÉ;MAGNESIUM/VITAMINE B6 BIOGARAN 48 mg/5 mg, comprimé pelliculé
solution buvable;1;OXOMÉMAZINE;OXOMEMAZINE TEVA 0,33 mg/ml SANS SUCRE, solution buvable édulcorée à l'acésulfame potassique
poudre;1;FUMARATE FERREUX;FUMAFER 33 mg/1 g, poudre orale
collyre en suspension;2;BRINZOLAMIDE;TARTRATE DE BRIMONIDINE;SIMBRINZA 10 mg/ml + 2 mg/ml, collyre en suspension
poudre et  solvant pour solution injectable;1;OCTOCOG ALFA ;KOVALTRY 500 UI, poudre et solvant pour solution injectable
comprimé sécable;2;HYDROCHLOROTHIAZIDE;MALÉATE D'ÉNALAPRIL;ENALAPRIL/HYDROCHLOROTHIAZIDE CRISTERS 20 mg/12,5 mg, comprimé sécable
comprimé sécable;1;ACIDE TIAPROFÉNIQUE;ACIDE TIAPROFENIQUE ZENTIVA 100 mg, comprimé sécable
comprimé sécable;1;GLIBENCLAMIDE;GLIBENCLAMIDE RANBAXY 2,5 mg, comprimé sécable
 comprimé et solution(s) et granules et poudre et pommade;1;MELILOTUS OFFICINALIS POUR PRÉPARATIONS HOMÉOPATHIQUES;MELILOTUS OFFICINALIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé pelliculé;1;CHLORHYDRATE DE ROPINIROLE;ROPINIROLE MYLAN 0,25 mg, comprimé pelliculé
solution pour perfusion;18;LEUCINE;ISOLEUCINE;SÉRINE;TRYPTOPHANE L;PROLINE;MÉTHIONINE;VALINE;ACIDE GLUTAMIQUE;LYSINE MONOHYDRATÉE;THRÉONINE;ASPARTIQUE (ACIDE);ACÉTATE DE LYSINE;ARGININE;ALANINE;TYROSINE;HISTIDINE;PHÉNYLALANINE;GLYCINE;AMINOPLASMAL 8, solution pour perfusion
solution buvable;1;EXTRAIT SEC DE FEUILLE DE LIERRE GRIMPANT;LIERRE GRIMPANT PHYTOCLARIX SANS SUCRE, solution buvable édulcorée au maltitol liquide
comprimé;1;RÉPAGLINIDE;REPAGLINIDE RATIOPHARM 0,5 mg, comprimé
comprimé pelliculé;1;IRBÉSARTAN;IRBESARTAN ZENTIVA 75 mg, comprimé pelliculé
comprimé pelliculé;2;SPIRAMYCINE;MÉTRONIDAZOLE;SPIRAMYCINE/METRONIDAZOLE BIOGARAN 1,5 M.U.I./250 mg, comprimé pelliculé
gélule;1;GABAPENTINE;GABAPENTINE RPG 300 mg, gélule
solution à diluer pour perfusion;1;CARBOPLATINE;CARBOPLATINE SUN 10 mg/ml, solution à diluer pour perfusion
gélule;1;TARTRATE D'ÉLIGLUSTAT;CERDELGA 84 mg, gélule
solution injectable;1;ADRÉNALINE;ANAPEN 300 microgrammes/0,3 ml, solution injectable en seringue préremplie
comprimé pelliculé sécable;1;LÉVOFLOXACINE HÉMIHYDRATÉE;LEVOFLOXACINE ARROW 500 mg, comprimé pelliculé sécable
comprimé pelliculé sécable;1;SIMVASTATINE;SIMVASTATINE EG 10 mg, comprimé pelliculé sécable
granulés;1;OSCILLOCOCCINUM POUR PRÉPARATIONS HOMÉOPATHIQUES;OSCILLOCOCCINUM, granules en récipient unidose
comprimé;1;RAMIPRIL;RAMIPRIL RANBAXY 1,25 mg, comprimé
comprimé;1;GLIMÉPIRIDE;GLIMEPIRIDE ZYDUS 4 mg, comprimé
comprimé pelliculé;3;LÉVODOPA;CARBIDOPA MONOHYDRATÉE;ENTACAPONE;LEVODOPA/CARBIDOPA/ENTACAPONE BIOGARAN 125 mg/31,25 mg/200 mg, comprimé pelliculé
comprimé pelliculé;1;IBUPROFÈNE;SPEDIFEN 400 mg, comprimé pelliculé
solution buvable;1;PIRACÉTAM;NOOTROPYL 20 %, solution buvable
comprimé pelliculé à libération modifiée;1;DICHLORHYDRATE DE TRIMÉTAZIDINE;TRIMETAZIDINE BIOGARAN 35 mg, comprimé pelliculé à libération modifiée
comprimé;1;GLIMÉPIRIDE;GLIMEPIRIDE ACTAVIS 3 mg, comprimé
comprimé pelliculé et  comprimé pelliculé;2;ÉTHINYLESTRADIOL;ACÉTATE DE CHLORMADINONE;BELARACONTINU 0,03 mg/2 mg, comprimé pelliculé
comprimé sécable;1;CHLORHYDRATE DE TERBINAFINE;TERBINAFINE EVOLUGEN 250 mg, comprimé sécable
suspension;1;MÉSALAZINE;PENTASA 1 g/100 ml, suspension rectale
gélule;1;TÉMOZOLOMIDE;TEMOZOLOMIDE SUN 250 mg, gélule
solution buvable;1;CARBOCISTÉINE;BRONCHOKOD 750 mg/10 ml ADULTES SANS SUCRE CARAMEL VANILLE, solution buvable en sachet dose édulcorée à la saccharine sodique, au sorbitol et au maltitol liquide
comprimé pelliculé;1;VALSARTAN;VALSARTAN PHR LAB 80 mg, comprimé pelliculé
suspension injectable;1;ANATOXINE TÉTANIQUE ;VACCIN TETANIQUE PASTEUR, suspension injectable en seringue préremplie. Vaccin tétanique adsorbé
solution pour inhalation;2;IPRATROPIUM (BROMURE D') MONOHYDRATÉ;BROMHYDRATE DE FÉNOTÉROL;BRONCHODUAL 50 microgrammes/20 microgrammes/dose, solution pour inhalation en flacon pressurisé
 comprimé et solution(s) et granules et poudre et pommade;1;KALIUM SULFURICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;KALIUM SULFURICUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
solution à diluer pour perfusion;1;DOCÉTAXEL;DOCETAXEL HOSPIRA 10 mg/ml, solution à diluer pour perfusion
comprimé pelliculé;1;ÉPLÉRÉNONE;INSPRA 50 mg, comprimé pelliculé
gel;1;DICLOFÉNAC DE DIÉTHYLAMINE;DICLOFENAC SANDOZ 1 %, gel
comprimé;2;HYDROCHLOROTHIAZIDE;TELMISARTAN;TELMISARTAN/HYDROCHLOROTHIAZIDE ZYDUS 80 mg/25 mg, comprimé
poudre et  solvant pour solution pour perfusion;6;FACTEUR X DE COAGULATION HUMAIN ;PROTÉINE S ;FACTEUR IX DE COAGULATION HUMAIN ;FACTEUR VII DE COAGULATION HUMAIN ;PROTÉINE C HUMAINE ;FACTEUR II DE COAGULATION HUMAIN ;OCTAPLEX 1000 UI, poudre et solvant pour solution pour perfusion
granules et  solution en gouttes en gouttes;1;SABAL SERRULATA POUR PRÉPARATIONS HOMÉOPATHIQUES;SABAL SERRULATA WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
dispositif;1;FENTANYL;MATRIFEN 25 microgrammes/heure, dispositif transdermique
solution pour inhalation par nébuliseur;1;IPRATROPIUM (BROMURE D') MONOHYDRATÉ;IPRATROPIUM ZENTIVA 0,50 mg/2 ml ADULTES, solution pour inhalation par nébuliseur en récipient unidose
comprimé pelliculé;1;NORFLOXACINE;NORFLOXACINE BIOGARAN 400 mg, comprimé pelliculé
comprimé sécable;1;PÉRINDOPRIL TERT-BUTYLAMINE;PERINDOPRIL MYLAN 4 mg, comprimé sécable
émulsion pour perfusion;28;PHOSPHATE MONOSODIQUE DIHYDRATÉ;CHLORHYDRATE D'HISTIDINE MONOHYDRATÉ;MAGNÉSIUM (ACÉTATE DE) TÉTRAHYDRATÉ;PROLINE;TRIGLYCÉRIDES D'ACIDES OMÉGA-3 ;ACIDE GLUTAMIQUE;CHLORURE DE SODIUM;HYDROXYDE DE SODIUM;THRÉONINE;ASPARTIQUE (ACIDE);ALANINE;TRIGLYCÉRIDES À CHAÎNE MOYENNE;CHLORURE DE CALCIUM DIHYDRATÉ;PHÉNYLALANINE;HUILE DE SOJA RAFFINÉE;ACÉTATE DE SODIUM TRIHYDRATÉ;LEUCINE;ISOLEUCINE;SÉRINE;TRYPTOPHANE L;CHLORHYDRATE DE LYSINE;ACÉTATE DE POTASSIUM;GLUCOSE MONOHYDRATÉ;MÉTHIONINE;VALINE;ACÉTATE DE ZINC DIHYDRATÉ;ARGININE;GLYCINE;REANUTRIFLEX OMEGA G 144/N 8/E, émulsion pour perfusion
poudre et  solvant pour suspension injectable à libération prolongée;1;OLANZAPINE (PAMOATE D') MONOHYDRATÉ;ZYPADHERA 210 mg, poudre et solvant pour suspension injectable à libération prolongée
granulés pour suspension buvable;1;TACROLIMUS MONOHYDRATÉ;MODIGRAF 1 mg, granulés pour suspension buvable
comprimé sécable;1;FUMARATE DE BISOPROLOL;BISOPROLOL QUIVER 7,5 mg, comprimé sécable
comprimé pelliculé;1;CLARITHROMYCINE;CLARITHROMYCINE RATIOPHARM 500 mg, comprimé pelliculé
solution injectable;1;CHLORHYDRATE D'OXYCODONE;OXYCODONE AGUETTANT 50 mg/mL, solution injectable
comprimé pelliculé sécable;1;OXALATE D'ESCITALOPRAM;SEROPLEX 10 mg, comprimé pelliculé sécable
comprimé pelliculé;2;HYDROCHLOROTHIAZIDE;VALSARTAN;VALSARTAN/HYDROCHLOROTHIAZIDE RATIOPHARM 80 mg/12,5 mg, comprimé pelliculé
gélule gastro-résistant(e);1;LANSOPRAZOLE;LANSOPRAZOLE PHR LAB 30 mg, gélule gastro-résistante
solution pour dialyse péritonéale;5;CHLORURE DE SODIUM;CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ;SODIUM (LACTATE DE) ANHYDRE;GLUCOSE MONOHYDRATÉ;CHLORURE DE CALCIUM DIHYDRATÉ;DIANEAL PD1 GLUCOSE 2,27 %, solution pour dialyse péritonéale en poche
suspension pour inhalation;1;XINAFOATE DE SALMÉTÉROL;SEREVENT 25 microgrammes par dose, suspension pour inhalation en flacon pressurisé
gélule;1;ZIDOVUDINE;RETROVIR 250 mg, gélule
sirop;1;POTASSIUM (GLUCONATE DE);POTASSIUM H2 PHARMA 25 mg/mL, sirop
solution buvable en gouttes;4;IGNATIA AMARA POUR PRÉPARATIONS HOMÉOPATHIQUES;KALIUM PHOSPHORICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;AVENA SATIVA POUR PRÉPARATIONS HOMÉOPATHIQUES;AURUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;STRESSDORON, solution buvable en gouttes
comprimé dispersible;1;LAMOTRIGINE;LAMOTRIGINE ARROW 50 mg, comprimé dispersible
comprimé pelliculé sécable;1;OXALATE D'ESCITALOPRAM;ESCITALOPRAM SANDOZ 15 mg, comprimé pelliculé sécable
comprimé pelliculé;2;ÉZÉTIMIBE;ATORVASTATINE CALCIQUE TRIHYDRATÉE;LIPTRUZET 10 mg/20 mg, comprimé pelliculé
solution injectable;1;IXÉKIZUMAB ;TALTZ 80 mg, solution injectable en seringue pré-remplie
comprimé pelliculé sécable;1;VALSARTAN;VALSARTAN EVOLUGEN 160 mg, comprimé pelliculé sécable
 comprimé et solution(s) et granules et poudre et pommade;1;CINA POUR PRÉPARATIONS HOMÉOPATHIQUES;CINA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé sécable;1;ACÉTATE DE NOMÉGESTROL;NOMEGESTROL BIOGARAN 5 mg, comprimé sécable
crème;1;NITRATE D'ÉCONAZOLE;ECONAZOLE ARROW 1 %, crème
poudre pour solution à diluer injectable pour perfusion;1;CHLORHYDRATE DE RÉMIFENTANIL;REMIFENTANIL B BRAUN 5 mg, poudre pour solution à diluer pour solution injectable/pour perfusion
comprimé pelliculé;3;PHOSPHATE DE TÉNOFOVIR DISOPROXIL;ÉFAVIRENZ;EMTRICITABINE;EFAVIRENZ/EMTRICITABINE/TENOFOVIR DISOPROXIL TEVA 600 mg/200 mg/245 mg, comprimé pelliculé
gel;1;DICLOFÉNAC DE DIÉTHYLAMINE;DICLOFENAC RATIOPHARM 1 %, gel
comprimé pelliculé;1;FINASTÉRIDE;FINASTERIDE TEVA 5 mg, comprimé pelliculé
 comprimé et solution(s) et granules et poudre et pommade;1;RAPHANUS SATIVUS NIGER POUR PRÉPARATIONS HOMÉOPATHIQUES;RAPHANUS SATIVUS NIGER BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé pelliculé;1;ZOLMITRIPTAN;ZOLMITRIPTAN ACTAVIS 2,5 mg, comprimé pelliculé
gélule;1;DANTROLÈNE SODIQUE;DANTRIUM 25 mg, gélule
comprimé pelliculé;2;HYDROCHLOROTHIAZIDE;IRBÉSARTAN;COAPROVEL 150 mg/12,5 mg, comprimé pelliculé
capsule molle;1;NITRATE DE FENTICONAZOLE;TERLOMEXIN 200 mg, capsule molle vaginale
suppositoire;1;PARACÉTAMOL;DOLIPRANE ADULTES 1000 mg, suppositoire
 comprimé et solution(s) et granules et poudre et pommade;1;CHLORALUM POUR PRÉPARATIONS HOMÉOPATHIQUES;CHLORALUM BOIRON, degré de dilution compris entre 5CH et 30CH ou entre 10DH et 60DH
collyre en solution;1;TARTRATE DE BRIMONIDINE;BRIMONIDINE EG 0,2 % (2 mg/ml), collyre en solution
gélule gastro-résistant(e);1;ÉSOMÉPRAZOLE MAGNÉSIQUE DIHYDRATÉ;ESOMEPRAZOLE PHR 20 mg, gélule gastro-résistante
solution pour perfusion;1;LÉVOFLOXACINE HÉMIHYDRATÉE;LEVOFLOXACINE HOSPIRA 5 mg/ml, solution pour perfusion
gel;1;ADAPALÈNE;DIFFERINE 0,1 %, gel
gélule;1;TÉMOZOLOMIDE;TEMOZOLOMIDE SUN 140 mg, gélule
gélule;1;BÉSILATE D'AMLODIPINE;AMLODIPINE RATIOPHARM 10 mg, gélule
solution injectable;1;INSULINE HUMAINE RECOMBINANTE ;ACTRAPID 100 unités internationales/ml, solution injectable
collyre en solution;1;INDOMÉTACINE;INDOCOLLYRE 0,1 %, collyre en solution
poudre pour solution injectable;1;CEFTRIAXONE SODIQUE;CEFTRIAXONE MYLAN 2 g, poudre pour solution injectable IV
solution buvable;1;OXOMÉMAZINE;OXOMEMAZINE ZENTIVA LAB 0,33 mg/ml SANS SUCRE, solution buvable édulcorée à l'acésulfame potassique
comprimé pelliculé sécable;1;RISPÉRIDONE;RISPERIDONE ARROW 4 mg, comprimé pelliculé sécable
solution injectable;1;NÉOSTIGMINE (MÉTILSULFATE DE);NEOSTIGMINE RENAUDIN 5 mg/5 ml, solution injectable
comprimé pelliculé;1;MARAVIROC;CELSENTRI 75 mg, comprimé pelliculé
 comprimé et solution(s) et granules et poudre et pommade;1;CINERARIA MARITIMA POUR PRÉPARATIONS HOMÉOPATHIQUES;CINERARIA MARITIMA BOIRON, degré de dilution compris entre 5CH et 30CH ou entre 10DH et 60DH
comprimé pelliculé sécable;1;VALSARTAN;TAREG 40 mg, comprimé pelliculé sécable
comprimé enrobé;1;CHLORHYDRATE DE PROMÉTHAZINE;PHENERGAN 25 mg, comprimé enrobé
comprimé;1;FUROSÉMIDE;FUROSEMIDE BIOGARAN 20 mg, comprimé
comprimé pelliculé;3;LÉVODOPA;CARBIDOPA MONOHYDRATÉE;ENTACAPONE;CORBILTA 200 mg/50 mg/200 mg, comprimé pelliculé
 comprimé et solution(s) et granules et poudre et pommade;1;PULSATILLA POUR PRÉPARATIONS HOMÉOPATHIQUES;PULSATILLA BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH
solution pour application;2;BENZALKONIUM (CHLORURE DE), SOLUTION DE;CHLORHEXIDINE (DIGLUCONATE DE), SOLUTION DE;MERCRYL SOLUTION MOUSSANTE, solution pour application cutanée
comprimé pelliculé;1;IBUPROFÈNE;IBUPROFENE ZYDUS FRANCE 200 mg, comprimé pelliculé
solution injectable;1;CHLORHYDRATE DE ROPIVACAÏNE;ROPIVACAINE RENAUDIN 2 mg/ml, solution pour perfusion en poche
comprimé pelliculé;1;DESLORATADINE;DESLORATADINE BIOGARAN 5 mg, comprimé pelliculé
précurseur radiopharmaceutique en solution;1;CHLORURE D'YTTRIUM [90Y];YTRACIS, précurseur radiopharmaceutique, en solution
comprimé pelliculé à libération prolongée;1;PENTOXIFYLLINE;PENTOXIFYLLINE SANDOZ LP 400 mg, comprimé à libération prolongée
gélule;1;CICLÉTANINE (CHLORHYDRATE DE);CICLETANINE TEVA 50 mg, gélule
comprimé pelliculé;1;ANASTROZOLE;ANASTROZOLE BLUEFISH 1 mg, comprimé pelliculé
granulés pour suspension buvable;1;ATALUREN;TRANSLARNA 250 mg, granulés pour suspension buvable
poudre pour solution injectable ou pour perfusion;1;ÉSOMÉPRAZOLE SODIQUE;INEXIUM 40 mg, poudre pour solution injectable ou pour perfusion
comprimé;1;PÉRINDOPRIL TERT-BUTYLAMINE;PERINDOPRIL BIOGARAN 2 mg, comprimé
comprimé orodispersible;1;OLANZAPINE;OLANZAPINE RATIOPHARM 5 mg, comprimé orodispersible
poudre pour solution à diluer pour perfusion;1;CEFTOBIPROLE MÉDOCARIL SODIQUE;MABELIO 500 mg, poudre pour solution à diluer pour solution pour perfusion
comprimé pelliculé;1;BROMHYDRATE D'ÉLÉTRIPTAN;RELPAX 20 mg, comprimé pelliculé
sirop;1;ALFA-AMYLASE ;ALFA-AMYLASE BIOGARAN CONSEIL 200 U.CEIP/ml, sirop
comprimé pelliculé;1;BÊTA-ESTRADIOL HÉMIHYDRATÉ;ESTROFEM 2 mg, comprimé pelliculé
solution pour perfusion;1;CHLORHYDRATE DE CIPROFLOXACINE;CIPROFLOXACINE AGUETTANT 400 mg/200 ml, solution pour perfusion
comprimé;2;RAMIPRIL;HYDROCHLOROTHIAZIDE;Ramiprill/Hydrochlorothiazide Mylan Pharma 5 mg/12,5 mg, comprimé
solution à diluer pour perfusion;1;SULFATE DE FOMÉPIZOLE;FOMEPIZOLE AP-HP 5 mg/ml, solution à diluer pour perfusion
poudre pour solution buvable;1;TROXÉRUTINE;TROXERUTINE MYLAN 3,5 g, poudre pour solution buvable en sachet-dose.
poudre pour solution buvable et gastro-entérale;1;ORNITHINE (OXOGLURATE D');OXOGLURATE D'ORNITHINE CHIESI 5 g, poudre pour solution buvable et gastro-entérale en sachet-dose
 comprimé et solution(s) et granules et poudre et pommade;1;ALOE POUR PRÉPARATIONS HOMÉOPATHIQUES;ALOE LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé orodispersible;1;CHLORHYDRATE DE DONÉPÉZIL;DONEPEZIL SANDOZ 5 mg, comprimé orodispersible
gélule;1;CHLORHYDRATE DE SERTRALINE;SERTRALINE ZYDUS FRANCE 50 mg, gélule
solution pour perfusion;4;CHLORURE DE SODIUM;CHLORURE DE POTASSIUM;SODIUM (LACTATE DE), SOLUTION DE;CHLORURE DE CALCIUM DIHYDRATÉ;RINGER LACTATE FRESENIUS, solution pour perfusion
comprimé à croquer;1;ACÉTYLSALICYLIQUE (ACIDE);ASPIRINE DU RHONE 500 mg, comprimé à croquer
poudre pour suspension buvable;1;AMOXICILLINE TRIHYDRATÉE;AMOXICILLINE EG 500 mg/5 ml, poudre pour suspension buvable
solution buvable gouttes;1;MÉTASULFOBENZOATE SODIQUE DE PREDNISOLONE;SOLUPRED 1 mg/ml, solution buvable.
comprimé sécable;1;RAMIPRIL;RAMIPRIL RANBAXY 5 mg, comprimé sécable
 comprimé et solution(s) et granules et poudre et pommade;1;HYOSCYAMUS NIGER POUR PRÉPARATIONS HOMÉOPATHIQUES;HYOSCYAMUS NIGER LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
collyre en solution;1;POVIDONE;NUTRIVISC 5 POUR CENT (20 mg/0,4 ml), collyre en solution en récipient unidose
comprimé dispersible ou à croquer;1;LAMOTRIGINE;LAMOTRIGINE TEVA 50 mg, comprimé dispersible ou à croquer
solution injectable;1;CHLORHYDRATE DE MÉTOCLOPRAMIDE;CHLORHYDRATE DE METOCLOPRAMIDE RENAUDIN 20 mg/ml, solution injectable
microgranule à libération prolongée en gélule;1;MORPHINE (SULFATE DE);SKENAN L.P. 60 mg, microgranules à libération prolongée en gélule
gélule;1;GABAPENTINE;GABAPENTINE ARROW GENERIQUES 400 mg, gélule
comprimé pelliculé;1;PÉRAMPANEL;FYCOMPA 8 mg, comprimé pelliculé
solution injectable;1;CHLORHYDRATE DE LÉVOMÉPROMAZINE;NOZINAN 25 mg/ml, solution injectable en ampoule (I.M.)
lotion;2;ACIDE SALICYLIQUE;ACÉTONIDE DE TRIAMCINOLONE;LOCALONE, lotion
gélule;1;FLUVASTATINE SODIQUE;FLUVASTATINE EG 40 mg, gélule
 solution et granules et poudre et pommade;1;HÉMATITE POUR PRÉPARATIONS HOMÉOPATHIQUES;HEMATITE WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé pelliculé;2;HYDROCHLOROTHIAZIDE;FUMARATE DE BISOPROLOL;BISOPROLOL/HYDROCHLOROTHIAZIDE ARROW 2,5 mg/6,25 mg, comprimé pelliculé
suppositoire;5;SERPOLET (HUILE ESSENTIELLE DE);CITRAL;TERPINOL;GAÏACOL;PIN (HUILE ESSENTIELLE DE);BRONCHORECTINE AU CITRAL ADULTES, suppositoire
pâte pour usage dentaire;2;LIDOCAÏNE;EUGÉNOL;POST-PENGHA, pâte pour usage dentaire
comprimé orodispersible;1;DOMPÉRIDONE;DOMPERIDONE ZENTIVA 10 mg, comprimé orodispersible
 comprimé et solution(s) et granules et poudre et pommade;1;DIGITALIS PURPUREA POUR PRÉPARATIONS HOMÉOPATHIQUES;DIGITALIS PURPUREA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
solution pour perfusion;1;CHLORHYDRATE DE DOPAMINE;DOPAMINE RENAUDIN 40 mg/ml, solution pour perfusion
solution pour application;1;MINOXIDIL;ALOSTIL 5 %, solution pour application cutanée
gélule;1;CHLORHYDRATE DE SERTRALINE;SERTRALINE ARROW 50 mg, gélule
solution injectable;1;ACÉTATE D'ATOSIBAN;ATOSIBAN EVER PHARMA 6,75 mg/0,9 mL, solution injectable
comprimé sécable;1;GLICLAZIDE;GLICLAZIDE SANDOZ 80 mg, comprimé sécable
comprimé;1;DICHLORHYDRATE DE BÉTAHISTINE;BETAHISTINE RANBAXY 24 mg, comprimé
comprimé gastro-résistant(e);1;PANTOPRAZOLE SODIQUE SESQUIHYDRATÉ;PANTOPRAZOLE RATIOPHARM 40 mg, comprimé gastro-résistant
comprimé;2;CHOLÉCALCIFÉROL (CONCENTRAT DE), FORME PULVÉRULENTE;ALENDRONATE MONOSODIQUE TRIHYDRATÉ;ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) ZENTIVA 70 mg/2 800 UI, comprimé
poudre pour suspension buvable;1;AMOXICILLINE TRIHYDRATÉE;AMOXICILLINE TEVA SANTE 250 mg/5 ml, poudre pour suspension buvable
comprimé pelliculé;1;CHLORHYDRATE D'ONDANSÉTRON DIHYDRATÉ;ONDANSETRON ARROW 8 mg, comprimé pelliculé
solution injectable;1;INSULINE GLARGINE ;LANTUS 100 unités/ ml, solution injectable en cartouche
sirop;4;COFFEA ARABICA POUR PRÉPARATIONS HOMÉOPATHIQUES;CYPRIPEDIUM PUBESCENS POUR PREPARATION HOMEOPATHIQUE;JALAPA POUR PRÉPARATIONS HOMÉOPATHIQUES;STRAMONIUM POUR PRÉPARATIONS HOMÉOPATHIQUES;NOCTIUM, sirop
suspension injectable;1;VIRUS DE L'ENCÉPHALITE JAPONAISE INACTIVÉ, SOUCHE SA(14)-14-2 ;IXIARO, suspension injectable. Vaccin de l'encéphalite japonaise (inactivé, adsorbé)
comprimé;1;MÉSALAZINE;PENTASA 500 mg, comprimé
comprimé pelliculé à libération modifiée;1;CLARITHROMYCINE;CLARITHROMYCINE ARROW 500 mg, comprimé pelliculé à libération modifiée
gélule;1;AMOXICILLINE TRIHYDRATÉE;AMOXICILLINE ARROW LAB 500 mg, gélule
dispositif;1;FENTANYL;FENTANYL BIOGARAN 25 microgrammes/heure, dispositif transdermique
comprimé;1;COBALT (GLUCONATE DE);OLIGOSTIM COBALT, comprimé
gélule;1;GABAPENTINE;GABAPENTINE PFIZER 400 mg, gélule
pommade;1;DEXPANTHÉNOL;DEXPANTHENOL EG LABO CONSEIL 5 %, pommade
solution injectable;1;GLUCOSE MONOHYDRATÉ;GLUCOSE 50 % RENAUDIN, solution injectable
poudre pour suspension buvable;2;AMOXICILLINE TRIHYDRATÉE;CLAVULANATE DE POTASSIUM;AMOXICILLINE/ACIDE CLAVULANIQUE RANBAXY 100 mg/12,5 mg par ml NOURRISSONS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1)
comprimé pelliculé à libération prolongée;1;CHLORHYDRATE DE TRAMADOL;TRAMADOL TEVA L.P. 200 mg, comprimé pelliculé à libération prolongée
